Rank,Name,Win_Ratio,Wins,Total_Comparisons,Average_Opponent_Rank
157,Maria Theresa,0.6,6.0,10.0,0.5204420579420579
158,Sigmund Freud,0.6,6.0,10.0,0.5056894978935188
159,Johannes Kepler,0.6,6.0,10.0,0.5000390785684904
160,Søren Kierkegaard,0.6,6.0,10.0,0.5401098901098901
161,Wolfgang Amadeus Mozart,0.6,6.0,10.0,0.5651611047180667
162,Theodosius I,0.6,6.0,10.0,0.640463458110517
163,Jan Hus,0.6,6.0,10.0,0.5574331550802138
164,Ignatius of Loyola,0.6,6.0,10.0,0.5465454888249006
165,Ignaz Semmelweis,0.6,6.0,10.0,0.49344720458311403
166,Charles de Gaulle,0.6,6.0,10.0,0.4906876456876457
167,Henry Ford,0.6,6.0,10.0,0.5578321678321678
168,Andrew the Apostle,0.6,6.0,10.0,0.4323601398601398
169,Johann Sebastian Bach,0.6,6.0,10.0,0.5359782042851664
170,Angela Merkel,0.6,6.0,10.0,0.5044282910072384
171,Clovis I,0.6,6.0,10.0,0.5013111888111889
172,Saladin,0.6,6.0,10.0,0.6000382950382951
173,Elizabeth II,0.6,6.0,10.0,0.5336459532029152
174,Steve Jobs,0.6,6.0,10.0,0.5562703962703963
175,"Charles V, Holy Roman Emperor",0.6,6.0,10.0,0.48303030303030303
176,Mao Zedong,0.6,6.0,10.0,0.58
177,Victor Hugo,0.6,6.0,10.0,0.5416783216783216
178,Stephen Hawking,0.6,6.0,10.0,0.49219573675269873
179,Sappho,0.6,6.0,10.0,0.48544117647058826
180,Blaise Pascal,0.6,6.0,10.0,0.5209214315096669
181,Petrarch,0.6,6.0,10.0,0.5437662337662338
182,James Watt,0.6,6.0,10.0,0.576936094434233
183,Muhammad Ali,0.6,6.0,10.0,0.5239111047180668
184,Max Planck,0.5882352941176471,10.0,17.0,0.6583432275246153
185,Darius the Great,0.5833333333333334,7.0,12.0,0.5384615384615384
186,Hypatia,0.5833333333333334,7.0,12.0,0.4474358974358974
187,Mikhail Gorbachev,0.5833333333333334,7.0,12.0,0.5486341144235882
188,Friedrich Nietzsche,0.5833333333333334,7.0,12.0,0.4646742890599928
189,Mehmed the Conqueror,0.5833333333333334,7.0,12.0,0.552579365079365
190,Ibn Battuta,0.5833333333333334,7.0,12.0,0.51797140767729
191,Justinian I,0.5789473684210527,11.0,19.0,0.6530740022022408
192,Hadrian,0.5714285714285714,8.0,14.0,0.5590742590742591
193,Winston Churchill,0.5714285714285714,8.0,14.0,0.6043560606060606
194,Elizabeth I of England,0.5714285714285714,8.0,14.0,0.6815920764698961
195,Trajan,0.5454545454545454,6.0,11.0,0.4873845405930968
196,Nefertiti,0.5454545454545454,6.0,11.0,0.562688381137579
197,Margaret Thatcher,0.5454545454545454,6.0,11.0,0.5282565918929554
198,Yuri Gagarin,0.5454545454545454,6.0,11.0,0.4694214876033058
199,Otto von Bismarck,0.5454545454545454,6.0,11.0,0.5308687668296413
200,John Maynard Keynes,0.5454545454545454,6.0,11.0,0.6453005995786744
201,Jane Austen,0.5454545454545454,6.0,11.0,0.5340084158265977
202,Steven Spielberg,0.5454545454545454,6.0,11.0,0.46985438803620627
203,Ovid,0.5454545454545454,6.0,11.0,0.42842763297308745
204,Walt Disney,0.5454545454545454,6.0,11.0,0.48626827717736815
205,Giuseppe Verdi,0.5454545454545454,6.0,11.0,0.4406332447759375
206,Xerxes I,0.5454545454545454,6.0,11.0,0.5127463445645264
207,Virgil,0.5454545454545454,6.0,11.0,0.5148760330578512
208,Bartholomew the Apostle,0.5454545454545454,6.0,11.0,0.4661157024793388
209,Yasser Arafat,0.5454545454545454,6.0,11.0,0.49153422335240526
210,Zheng He,0.5454545454545454,6.0,11.0,0.49454939000393555
211,Henry IV of France,0.5454545454545454,6.0,11.0,0.4523310023310023
212,Osman I,0.5454545454545454,6.0,11.0,0.5102034329307057
213,Alessandro Volta,0.5454545454545454,6.0,11.0,0.5434565434565435
214,Ptolemy,0.5454545454545454,6.0,11.0,0.5738715829624922
215,Napoleon III,0.5454545454545454,6.0,11.0,0.46114907819453277
216,Pericles,0.5454545454545454,6.0,11.0,0.5734304770189937
217,André-Marie Ampère,0.5454545454545454,6.0,11.0,0.5030514939605847
218,Francis Bacon,0.5384615384615384,7.0,13.0,0.4792934751065228
219,Pelé,0.5384615384615384,7.0,13.0,0.44392274392274395
220,Molière,0.5384615384615384,7.0,13.0,0.46502599964138425
221,Giuseppe Garibaldi,0.5384615384615384,7.0,13.0,0.4852820256666411
222,Umar,0.5384615384615384,7.0,13.0,0.46023641880250293
223,Mother Teresa,0.5333333333333333,8.0,15.0,0.5574091921150744
224,Joseph Stalin,0.5294117647058824,9.0,17.0,0.5483328464058727
225,Lorenzo de' Medici,0.5294117647058824,9.0,17.0,0.54179350061703
